('Namespace(act_dropout=0.1, adaptdl=False, adascale=True, attn_dropout=0.0, '
 "batch_size=800, beam_size=4, betas=[0.9, 0.98], data_dir='data/iwslt-2014', "
 'dec_embed_dim=512, dec_ffn_dim=1024, dec_layernorm_before=False, '
 'dec_num_heads=4, dec_num_layers=6, dec_tied_weight=True, '
 "decay_method='inverse_sqrt', decode_method='beam', dropout=0.3, "
 'embed_dropout=0.3, enc_embed_dim=512, enc_ffn_dim=1024, '
 'enc_layernorm_before=False, enc_num_heads=4, enc_num_layers=6, '
 'eval_batch_size=20, fp16=False, gpu=0, gradient_accumulation=2, '
 "init_checkpoint=None, label_smoothing=0.1, lang_src='en', lang_tgt='de', "
 'learning_rate=0.0005, length_normalize=True, lowercase=False, '
 'max_decode_length_base=10, max_decode_length_multiplier=2, max_epochs=60, '
 "max_tokens=4096, min_lr=1e-09, mode='train', optim='adamw', "
 "output_path=None, save_epochs=1, save_path='models/en-de', scale=32, "
 'warmup_steps=10000, weight_decay=0.0001)')
[*] AdaScale is enabled!
======================================================================
Epoch 1 ::: Train

[Iter 0.00/448.0] gain: 1.000, loss: 9.535, nll loss: 9.530, ppl: 739.398, time: 0.2s
[Iter 0.00/448.0] gain: 1.000, loss: 9.555, nll loss: 9.552, ppl: 750.738, time: 0.4s
[Iter 0.00/448.0] gain: 1.000, loss: 9.551, nll loss: 9.548, ppl: 748.591, time: 0.6s
[Iter 0.00/448.0] gain: 1.000, loss: 9.549, nll loss: 9.545, ppl: 747.184, time: 0.7s
[Iter 0.00/448.0] gain: 1.000, loss: 9.550, nll loss: 9.546, ppl: 747.709, time: 0.9s
[Iter 0.00/448.0] gain: 1.000, loss: 9.549, nll loss: 9.545, ppl: 746.950, time: 1.1s
[Iter 0.00/448.0] gain: 1.000, loss: 9.548, nll loss: 9.544, ppl: 746.706, time: 1.2s
[Iter 0.00/448.0] gain: 1.000, loss: 9.547, nll loss: 9.543, ppl: 745.998, time: 1.4s
[Iter 0.00/448.0] gain: 1.000, loss: 9.547, nll loss: 9.543, ppl: 745.845, time: 1.6s
[Iter 0.00/448.0] gain: 1.000, loss: 9.547, nll loss: 9.543, ppl: 745.757, time: 1.7s
[Iter 0.00/448.0] gain: 1.000, loss: 9.547, nll loss: 9.543, ppl: 746.152, time: 1.9s
[Iter 0.00/448.0] gain: 1.000, loss: 9.548, nll loss: 9.545, ppl: 746.776, time: 2.0s
[Iter 0.00/448.0] gain: 1.000, loss: 9.551, nll loss: 9.548, ppl: 748.467, time: 2.2s
[Iter 0.00/448.0] gain: 1.000, loss: 9.552, nll loss: 9.549, ppl: 749.001, time: 2.4s
[Iter 0.00/448.0] gain: 1.000, loss: 9.551, nll loss: 9.548, ppl: 748.494, time: 2.5s
[Iter 0.00/448.0] gain: 1.000, loss: 9.550, nll loss: 9.546, ppl: 747.680, time: 2.7s
[Iter 0.00/448.0] gain: 1.000, loss: 9.548, nll loss: 9.544, ppl: 746.587, time: 2.8s
[Iter 0.00/448.0] gain: 1.000, loss: 9.548, nll loss: 9.544, ppl: 746.625, time: 3.0s
[Iter 0.00/448.0] gain: 1.000, loss: 9.548, nll loss: 9.544, ppl: 746.310, time: 3.2s
[Iter 0.00/448.0] gain: 1.000, loss: 9.548, nll loss: 9.545, ppl: 746.767, time: 3.4s
[Iter 0.00/448.0] gain: 1.000, loss: 9.550, nll loss: 9.546, ppl: 747.596, time: 3.5s
[Iter 0.00/448.0] gain: 1.000, loss: 9.551, nll loss: 9.547, ppl: 748.040, time: 3.7s
[Iter 0.00/448.0] gain: 1.000, loss: 9.550, nll loss: 9.546, ppl: 747.619, time: 3.9s
[Iter 0.00/448.0] gain: 1.000, loss: 9.550, nll loss: 9.546, ppl: 747.512, time: 4.0s
[Iter 0.00/448.0] gain: 1.000, loss: 9.550, nll loss: 9.547, ppl: 747.944, time: 4.2s
